Magazine,Number of contribution in magazine,Contributor: Last name / first name,Pseudonym / abbreviation used,Source of contributor data,Sex,Country of Origin,Year of Birth,Year of Death,Age at contribution,Title of contribution,Issue number,Original issue date,Calculable issue date,Type of contribution: comparable,Language,Dedication,Translator,Original language
Revista Azul,883,"Valdivia, Aniceto",Conde Kostia,http://viaf.org/viaf/56281132,M,Cuba,1857,1927,38,No title,15,11.08.1895,1895-08-11,Non-fictional Prose,Spanish,,,NA
Revista Azul,884,"Hernandez Miyares, Enrique",,http://viaf.org/viaf/116145857085322922275,M,Cuba,1859,1914,36,La derrota,15,11.08.1895,1895-08-11,Lyricism,Spanish,,,NA
Revista Azul,885,"Rueda, Salvador",,http://viaf.org/viaf/17371849,M,Spain,1857,1933,38,Crepúsculo,15,11.08.1895,1895-08-11,Fictional Prose,Spanish,,,NA
Revista Azul,886,"Martínez Rubio, Rafael",,http://www.culturacolima.gob.mx/imagenes/foroscolima/4/18.pdf,M,Mexico,NA,NA,NA,"De ""Rimas de nieve""",15,11.08.1895,1895-08-11,Lyricism,Spanish,,,NA
Revista Azul,887,"Fernández Bremón, José",,http://viaf.org/viaf/169364187,M,Spain,1839,1910,56,Los que suben y bajan,15,11.08.1895,1895-08-11,Fictional Prose,Spanish,,,NA
Revista Azul,888,"Bolet Peraza, Nicanor",,http://viaf.org/viaf/31571541,M,Venezuela,1838,1906,57,Amor e ilusión,15,11.08.1895,1895-08-11,Fictional Prose,Spanish,,,NA
Revista Azul,889,"Facio, Justo A.",,http://viaf.org/viaf/47954868,M,Costa Rica,1859,1931,36,Werther,15,11.08.1895,1895-08-11,Lyricism,Spanish,,,NA
Revista Azul,890,"Mill, John Stuart",,http://viaf.org/viaf/100189299,M,United Kingdom,1806,1873,deceased,No title,15,11.08.1895,1895-08-11,Fictional Prose,Spanish,,,NA
Revista Azul,891,Anonymous,,n.I.,NA,NA,NA,NA,NA,Páginas nuevas. Nazarín,15,11.08.1895,1895-08-11,Non-fictional Prose,Spanish,,,NA
Revista Azul,892,"Pérez-Galdós, Benito",,http://viaf.org/viaf/71395987,M,Spain,1843,1920,52,Páginas nuevas. Nazarín,15,11.08.1895,1895-08-11,Fictional Prose,Spanish,,,NA
Revista Azul,893,"Balart, Federico",,http://viaf.org/viaf/56173138,M,Spain,1831,1905,64,Luz y Sombra,15,11.08.1895,1895-08-11,Lyricism,Spanish,,,NA
Revista Azul,894,"Campo, Ángel de",Micrós,http://viaf.org/viaf/71478091,M,Mexico,1868,1908,27,Cartones. Sous la feuillee,15,11.08.1895,1895-08-11,Fictional Prose,Spanish,,,NA
Revista Azul,895,"Lemaître, Jules",,http://viaf.org/viaf/56625290,M,France,1853,1914,42,Myrrha,15,11.08.1895,1895-08-11,Fictional Prose,Spanish,,n.I.,NA
Revista Azul,896,"Díaz Dufóo, Carlos",Petit Bleu,http://viaf.org/viaf/48832417,M,Mexico,1861,1941,34,Azul palido,15,11.08.1895,1895-08-11,Non-fictional Prose,Spanish,,,NA
Revista Azul,897,"Díaz Dufóo, Carlos",,http://viaf.org/viaf/48832417,M,Mexico,1861,1941,34,Teresa,16,18.08.1895,1895-08-18,Review,Spanish,,,NA
Revista Azul,898,"Herrera, Darío",,http://viaf.org/viaf/73982208,M,Panama,1870,1914,25,Doliente,16,18.08.1895,1895-08-18,Fictional Prose,Spanish,"Urueta, Jesús",,NA
Revista Azul,899,"Loti, Pierre",,http://viaf.org/viaf/89440078,M,France,1850,1923,45,Leyenda de las lunas,16,18.08.1895,1895-08-18,Fictional Prose,Spanish,,,NA
Revista Azul,900,"Díaz, Leopoldo",,http://viaf.org/viaf/61584602,M,Argentina,1862,1947,33,Camafeo,16,18.08.1895,1895-08-18,Lyricism,Spanish,,,NA
Revista Azul,901,"Loti, Pierre",,http://viaf.org/viaf/89440078,M,France,1850,1923,45,Entremés chino,16,18.08.1895,1895-08-18,Non-fictional Prose,Spanish,,,NA
Revista Azul,902,"Othón, Manuel José",,http://viaf.org/viaf/51709430,M,Mexico,1858,1906,37,Macbeth. Fragmento de un arreglo a la escena española del drama de Shakespeare,16,18.08.1895,1895-08-18,Lyricism,Spanish,,,NA
Revista Azul,903,"Darío, Rubén",,http://viaf.org/viaf/7399994,M,Nicaragua,1867,1916,28,La isla de la muerte,16,18.08.1895,1895-08-18,Fictional Prose,Spanish,,,NA
Revista Azul,904,"Rueda, Salvador",,http://viaf.org/viaf/17371849,M,Spain,1857,1933,38,El canto de las carretas,16,18.08.1895,1895-08-18,Lyricism,Spanish,,,NA
Revista Azul,905,"Díaz Dufóo, Carlos",Monaguillo,http://viaf.org/viaf/48832417,M,Mexico,1861,1941,34,Nocturno (tiempo lento.),16,18.08.1895,1895-08-18,Fictional Prose,Spanish,,,NA
Revista Azul,906,"Zola, Émile",,http://viaf.org/viaf/32004502,M,France,1840,1902,55,Los bohemios,16,18.08.1895,1895-08-18,Fictional Prose,Spanish,,,NA
Revista Azul,907,"Uhrbach, Carlos Pío",,http://viaf.org/viaf/3866149368839685980006,M,Cuba,1872,1897,23,Bronce florentino,16,18.08.1895,1895-08-18,Lyricism,Spanish,,,NA
Revista Azul,908,"Lemaître, Jules",,http://viaf.org/viaf/56625290,M,France,1853,1914,42,Myrrha,16,18.08.1895,1895-08-18,Fictional Prose,Spanish,,n.I.,NA
Revista Azul,909,"Ambrogi, Arturo",,http://viaf.org/viaf/69180193,M,San Salvador,1874,1936,21,Del caballete. I. Viñeta. II. Cromo,16,18.08.1895,1895-08-18,Fictional Prose,Spanish,"Tablada, José Juan",,NA
Revista Azul,910,"Díaz Dufóo, Carlos",Petit Bleu,http://viaf.org/viaf/48832417,M,Mexico,1861,1941,34,Azul palido,16,18.08.1895,1895-08-18,Fictional Prose,Spanish,,,NA
Revista Azul,911,"Mailly, Louis de",,http://viaf.org/viaf/54150959,M,France,1657,1724,deceased,Pluma y tintero,17,25.08.1895,1895-08-25,Non-fictional Prose,Spanish,,,NA
Revista Azul,912,"Robert, Louis de",,http://viaf.org/viaf/4962286,M,France,1871,1937,24,Mi vecino,17,25.08.1895,1895-08-25,Fictional Prose,Spanish,,n.I.,NA
Revista Azul,913,"Martínez Luján, Domingo",,https://books.google.de/books?id=ImbNGzQkxy0C&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,M,Peru,1871,NA,24,Nota vieja,17,25.08.1895,1895-08-25,Lyricism,Spanish,"García Cisneros, Francisco",,NA
Revista Azul,914,"Valera, Juan",,http://viaf.org/viaf/46770556,M,Spain,1824,1905,71,Páginas nuevas. El hechicero,17,25.08.1895,1895-08-25,Fictional Prose,Spanish,,,NA
Revista Azul,915,"Peza, Juan de Dios",,http://viaf.org/viaf/29553746,M,Mexico,1852,1910,43,Versos de barro,17,25.08.1895,1895-08-25,Lyricism,Spanish,"Díaz Dufoo, Carlos",,NA
Revista Azul,916,"Campo, Ángel de",Micrós,http://viaf.org/viaf/71478091,M,Mexico,1868,1908,27,Cartones. Billetes,17,25.08.1895,1895-08-25,Fictional Prose,Spanish,,,NA
Revista Azul,917,"Valderrama, Felipe",,First search unsuccessful,M,Venezuela,NA,NA,NA,Venganza,17,25.08.1895,1895-08-25,Fictional Prose,Spanish,,,NA
Revista Azul,918,"Darío, Rubén",,http://viaf.org/viaf/7399994,M,Nicaragua,1867,1916,28,Estival,17,25.08.1895,1895-08-25,Lyricism,Spanish,,,NA
Revista Azul,919,"Descaves, Lucien",,http://viaf.org/viaf/85152036,M,France,1861,1949,34,Nestina,17,25.08.1895,1895-08-25,Fictional Prose,Spanish,,,NA
Revista Azul,920,"Herrera, Darío",,http://viaf.org/viaf/73982208,M,Panama,1870,1914,25,En el baile,17,25.08.1895,1895-08-25,Lyricism,Spanish,"""Revista Azul""",,NA
Revista Azul,921,Berlioz,,n.I.,NA,NA,NA,NA,NA,Ricardo Wagner,17,25.08.1895,1895-08-25,Review,Spanish,,,NA
Revista Azul,922,"Díaz Dufóo, Carlos",Petit Bleu,http://viaf.org/viaf/48832417,M,Mexico,1861,1941,34,Azul palido,17,25.08.1895,1895-08-25,Non-fictional Prose,Spanish,,,NA
Revista Azul,923,"Gutiérrez Nájera, Manuel",El Duque Job,http://viaf.org/viaf/27095815,M,Mexico,1859,1895,deceased,La leyenda del Santo Grial y la leyenda de Lohengrin,18,01.09.1895,1895-09-01,Fictional Prose,Spanish,,,NA
Revista Azul,924,"Díaz Mirón, Salvador",,http://viaf.org/viaf/4939372,M,Mexico,1853,1928,42,"Requiescat in pace. ""Poesías""—Benson y Ca. de Nueva York",18,01.09.1895,1895-09-01,Lyricism,Spanish,,,NA
Revista Azul,925,"Lemaître, Jules",,http://viaf.org/viaf/56625290,M,France,1853,1914,42,Kepis y cornetas,18,01.09.1895,1895-09-01,Fictional Prose,Spanish,,n.I.,NA
Revista Azul,926,"Díaz Mirón, Salvador",,http://viaf.org/viaf/4939372,M,Mexico,1853,1928,42,Confidencias,18,01.09.1895,1895-09-01,Lyricism,Spanish,,,NA
Revista Azul,927,"Pardo Bazán, Emilia",,http://viaf.org/viaf/51699645,F,Spain,1851,1921,44,Voz de la sangre,18,01.09.1895,1895-09-01,Fictional Prose,Spanish,,,NA
Revista Azul,928,"Martínez Rubio, Rafael",El Duque Juan,http://www.culturacolima.gob.mx/imagenes/foroscolima/4/18.pdf,M,Mexico,NA,NA,NA,"De ""Rimas de nieve"": Tú!. Envío",18,01.09.1895,1895-09-01,Lyricism,Spanish,Celia,,NA
Revista Azul,929,"Díaz Dufóo, Carlos",Monaguillo,http://viaf.org/viaf/48832417,M,Mexico,1861,1941,34,De sobremesa,18,01.09.1895,1895-09-01,Non-fictional Prose,Spanish,,,NA
Revista Azul,930,"Bolet Peraza, Nicanor",,http://viaf.org/viaf/31571541,M,Venezuela,1838,1906,57,El espejo encantado,18,01.09.1895,1895-09-01,Fictional Prose,Spanish,,,NA
Revista Azul,931,"López Penha, Abraham Z.",,http://viaf.org/viaf/75926350,M,Colombia,1865,1927,30,La muerte del poeta,18,01.09.1895,1895-09-01,Lyricism,Spanish,,,NA
Revista Azul,932,"Díaz Dufóo, Carlos",Petit Bleu,http://viaf.org/viaf/48832417,M,Mexico,1861,1941,34,Azul palido,18,01.09.1895,1895-09-01,Non-fictional Prose,Spanish,,,NA
Revista Azul,933,"Gutiérrez Nájera, Manuel",El Duque Job,http://viaf.org/viaf/27095815,M,Mexico,1859,1895,deceased,La edad de oro,19,08.09.1895,1895-09-08,Magazine Review,Spanish,,,NA
Revista Azul,934,"Mata, Andrés A.",,http://viaf.org/viaf/12435008,M,Venezuela,1870,1931,25,Autumnal,19,08.09.1895,1895-09-08,Lyricism,Spanish,,,NA
Revista Azul,935,"Valera, Juan",,http://viaf.org/viaf/46770556,M,Spain,1824,1905,71,Páginas nuevas. El hechicero,19,08.09.1895,1895-09-08,Fictional Prose,Spanish,,,NA
Revista Azul,936,María Enriqueta,,http://viaf.org/viaf/38498145,F,Mexico,1872,1968,23,Hojas,19,08.09.1895,1895-09-08,Lyricism,Spanish,A mi madre,,NA
Revista Azul,937,"Renard, Jules",,http://viaf.org/viaf/12314235,M,France,1864,1910,31,El loco,19,08.09.1895,1895-09-08,Fictional Prose,Spanish,,n.I.,NA
Revista Azul,938,"Campo, Ángel de",Micrós,http://viaf.org/viaf/71478091,M,Mexico,1868,1908,27,La consulta,19,08.09.1895,1895-09-08,Fictional Prose,Spanish,,,NA
Revista Azul,939,"López, Carlos",,First search unsuccessful,M,NA,NA,NA,NA,Pensando en el hogar,19,08.09.1895,1895-09-08,Lyricism,Spanish,"Urbina, Luis G.",,NA
Revista Azul,940,"Díaz Dufóo, Carlos",,http://viaf.org/viaf/48832417,M,Mexico,1861,1941,34,Párrafos,19,08.09.1895,1895-09-08,Non-fictional Prose,Spanish,,,NA
Revista Azul,941,"Álvarez Rul, J. B.",,n.I.,NA,NA,NA,NA,NA,La noticia,19,08.09.1895,1895-09-08,Non-fictional Prose,Spanish,,,NA
Revista Azul,942,"Martínez Rubio, Rafael",El Duque Juan,http://www.culturacolima.gob.mx/imagenes/foroscolima/4/18.pdf,M,Mexico,NA,NA,NA,Versos viejos,19,08.09.1895,1895-09-08,Lyricism,Spanish,,,NA
Revista Azul,943,"Díaz Dufóo, Carlos",Petit Bleu,http://viaf.org/viaf/48832417,M,Mexico,1861,1941,34,Azul palido,19,08.09.1895,1895-09-08,Non-fictional Prose,Spanish,,,NA
Revista Azul,944,"Díaz Dufóo, Carlos",,http://viaf.org/viaf/48832417,M,Mexico,1861,1941,34,Pelayo-Hidalgo,20,15.09.1895,1895-09-15,Fictional Prose,Spanish,,,NA
Revista Azul,945,"Prévost, Marcel",,http://viaf.org/viaf/68938611,M,France,1862,1941,33,El homicidio de la Sra. Aubry. Documento del proceso,20,15.09.1895,1895-09-15,Fictional Prose,Spanish,,n.I.,NA
Revista Azul,946,"Rueda, Salvador",,http://viaf.org/viaf/17371849,M,Spain,1857,1933,38,"De ""En tropel"", Cantos españoles: La gaita asturiana. Los duendes",20,15.09.1895,1895-09-15,Lyricism,Spanish,,,NA
Revista Azul,947,Anonymous,,n.I.,NA,NA,NA,NA,NA,Fugitiva,20,15.09.1895,1895-09-15,Fictional Prose,Spanish,,,NA
Revista Azul,948,Anonymous,,n.I.,NA,NA,NA,NA,NA,Los pescadores de perlas,20,15.09.1895,1895-09-15,Fictional Prose,Spanish,,,NA
Revista Azul,949,"Darío, Rubén",,http://viaf.org/viaf/7399994,M,Nicaragua,1867,1916,28,Idilio marino,20,15.09.1895,1895-09-15,Fictional Prose,Spanish,,,NA
Revista Azul,950,"Icaza, Francisco A. de",,http://viaf.org/viaf/44385271,M,Mexico,1863,1925,32,Himno y lira,20,15.09.1895,1895-09-15,Lyricism,Spanish,,,NA
Revista Azul,951,"Campo, Ángel de",Micrós,http://viaf.org/viaf/71478091,M,Mexico,1868,1908,27,Fuera de casa. Bajo los pinos de Zinziro,20,15.09.1895,1895-09-15,Fictional Prose,Spanish,"Santoyo, Isidoro",,NA
Revista Azul,952,"Daudet, Alphonse",,http://viaf.org/viaf/4928621,M,France,1840,1897,55,En Suiza,20,15.09.1895,1895-09-15,Non-fictional Prose,Spanish,,,NA
Revista Azul,953,"Tolstoj, Lev Nikolaevic",,http://viaf.org/viaf/96987389,M,Russia,1828,1910,67,De donde viene el mal,20,15.09.1895,1895-09-15,Fictional Prose,Spanish,,,NA
Revista Azul,954,"Martínez Rubio, Rafael",El Duque Juan,http://www.culturacolima.gob.mx/imagenes/foroscolima/4/18.pdf,M,Mexico,NA,NA,NA,Magdalena. Ante un cuadro,20,15.09.1895,1895-09-15,Lyricism,Spanish,"Díaz Dufoo, Carlos",,NA
Revista Azul,955,"Martí, José",,http://viaf.org/viaf/73865537,M,Cuba,1853,1895,deceased,Fernández Grilo,20,15.09.1895,1895-09-15,Non-fictional Prose,Spanish,,,NA
Revista Azul,956,"Tablada, José Juan",,http://viaf.org/viaf/51792179,M,Mexico,1871,1945,24,¡Manitou!,20,15.09.1895,1895-09-15,Non-fictional Prose,Spanish,,,NA
Revista Azul,957,"Arciniegas, Ismael Enrique",,http://viaf.org/viaf/30956884,M,Colombia,1865,1938,30,Invocación,20,15.09.1895,1895-09-15,Lyricism,Spanish,,,NA
Revista Azul,958,"Díaz Dufóo, Carlos",Petit Bleu,http://viaf.org/viaf/48832417,M,Mexico,1861,1941,34,Azul palido,20,15.09.1895,1895-09-15,Non-fictional Prose,Spanish,,,NA
Revista Azul,959,"Gutiérrez Nájera, Manuel",El Duque Job,http://viaf.org/viaf/27095815,M,Mexico,1859,1895,deceased,Carta de un suicida,21,22.09.1895,1895-09-22,Non-fictional Prose,Spanish,,,NA
Revista Azul,960,"Bernard, Tristán",,http://viaf.org/viaf/66463596,M,France,1866,1947,29,La casa del crimen,21,22.09.1895,1895-09-22,Fictional Prose,Spanish,,n.I.,NA
Revista Azul,961,"Hernandez Miyares, Enrique",,http://viaf.org/viaf/116145857085322922275,M,Cuba,1859,1914,36,Alborada,21,22.09.1895,1895-09-22,Lyricism,Spanish,,,NA
Revista Azul,962,"Chocano, José Santos",,http://viaf.org/viaf/71504072,M,Peru,1875,1934,20,En el salón,21,22.09.1895,1895-09-22,Lyricism,Spanish,,,NA
Revista Azul,963,"Bourget, Paul",,http://viaf.org/viaf/29530799,M,France,1852,1935,43,La vida y el artista,21,22.09.1895,1895-09-22,Non-fictional Prose,Spanish,,,NA
Revista Azul,964,"Valera, Juan",,http://viaf.org/viaf/46770556,M,Spain,1824,1905,71,Páginas nuevas. El hechicero,21,22.09.1895,1895-09-22,Fictional Prose,Spanish,,,NA
Revista Azul,965,"Tablada, José Juan",,http://viaf.org/viaf/51792179,M,Mexico,1871,1945,24,Odas nocturnas. Fuegos artificiales,21,22.09.1895,1895-09-22,Lyricism,Spanish,"Peón del Valle, José",,NA
Revista Azul,966,"Zumeta, César",,http://viaf.org/viaf/89527914,M,Venezuela,1860,1955,35,Manuel Gutiérrez Nájera,21,22.09.1895,1895-09-22,Non-fictional Prose,Spanish,,,NA
Revista Azul,967,"Campo, Ángel de",Micrós,http://viaf.org/viaf/71478091,M,Mexico,1868,1908,27,La muerte de Abelardo,21,22.09.1895,1895-09-22,Fictional Prose,Spanish,"Dávalos, Salvador",,NA
Revista Azul,968,"Martínez Rubio, Rafael",El Duque Juan,http://www.culturacolima.gob.mx/imagenes/foroscolima/4/18.pdf,M,Mexico,NA,NA,NA,Spirita! Leyendo a Gautier,21,22.09.1895,1895-09-22,Lyricism,Spanish,"Roumagnac, Carlos",,NA
Revista Azul,969,"Díaz Dufóo, Carlos",,http://viaf.org/viaf/48832417,M,Mexico,1861,1941,34,Historias del boulevard,21,22.09.1895,1895-09-22,Fictional Prose,Spanish,,,NA
Revista Azul,970,"Rueda, Salvador",,http://viaf.org/viaf/17371849,M,Spain,1857,1933,38,"""Cantos de la vendimia"": La canción del vinagre. Collar. Desposorio",21,22.09.1895,1895-09-22,Lyricism,Spanish,,,NA
Revista Azul,971,"Díaz Dufóo, Carlos",Petit Bleu,http://viaf.org/viaf/48832417,M,Mexico,1861,1941,34,Azul palido,21,22.09.1895,1895-09-22,Fictional Prose,Spanish,,,NA
Revista Azul,972,"Campo, Ángel de",Micrós,http://viaf.org/viaf/71478091,M,Mexico,1868,1908,27,Dos reinados (fragmentos epistolares.),22,29.09.1895,1895-09-29,Fictional Prose,Spanish,"Michel, Ignacio",,NA
Revista Azul,973,"Baudelaire, Charles",,http://viaf.org/viaf/17218730,M,France,1821,1867,deceased,"""Los paraísos artificiales"". El Haschich",22,29.09.1895,1895-09-29,Non-fictional Prose,Spanish,,,NA
Revista Azul,974,"Méndez de Cuenca, Laura",,http://viaf.org/viaf/41551553,F,Mexico,1853,1928,42,Salve,22,29.09.1895,1895-09-29,Lyricism,Spanish,,,NA
Revista Azul,975,"Zumeta, César",,http://viaf.org/viaf/89527914,M,Venezuela,1860,1955,35,Claros de luna,22,29.09.1895,1895-09-29,Fictional Prose,Spanish,,,NA
Revista Azul,976,"Darío, Rubén",,http://viaf.org/viaf/7399994,M,Nicaragua,1867,1916,28,Cifra,22,29.09.1895,1895-09-29,Lyricism,Spanish,,,NA
Revista Azul,977,"Palma, Clemente",,http://viaf.org/viaf/43178261,M,Peru,1872,1946,23,Frontón. El Dios Pan,22,29.09.1895,1895-09-29,Lyricism,Spanish,,,NA
Revista Azul,978,"Leblanc, Maurice",,http://viaf.org/viaf/22144617,M,France,1864,1941,31,El Amigo de la lógica,22,29.09.1895,1895-09-29,Fictional Prose,Spanish,,n.I.,NA
Revista Azul,979,"Peón del Valle, José",,http://viaf.org/viaf/310754543,M,Mexico,1866,1924,29,A una mártir,22,29.09.1895,1895-09-29,Lyricism,Spanish,,,NA
Revista Azul,980,"Díaz Dufóo, Carlos",Monaguillo,http://viaf.org/viaf/48832417,M,Mexico,1861,1941,34,De sobremesa,22,29.09.1895,1895-09-29,Non-fictional Prose,Spanish,,,NA
Revista Azul,981,"Facio, Justo A.",,http://viaf.org/viaf/47954868,M,Costa Rica,1859,1931,36,Octubre,22,29.09.1895,1895-09-29,Lyricism,Spanish,,,NA
Revista Azul,982,"Tablada, José Juan",,http://viaf.org/viaf/51792179,M,Mexico,1871,1945,24,Talismán,22,29.09.1895,1895-09-29,Lyricism,Spanish,,,NA
Revista Azul,983,"Castelar, Emilio",,http://viaf.org/viaf/27085279,M,Spain,1832,1899,63,Páginas olvidadas. Ante el anfiteatro de Roma,22,29.09.1895,1895-09-29,Fictional Prose,Spanish,,,NA
Revista Azul,984,"Beyle, Henri",Stendhal,http://viaf.org/viaf/17823,M,France,1783,1842,deceased,No title,22,29.09.1895,1895-09-29,Non-fictional Prose,Spanish,,,NA
Revista Azul,985,"Isaacs, Jorge",,http://viaf.org/viaf/41871263,M,Colombia,1837,1895,deceased,La tierra madre,22,29.09.1895,1895-09-29,Lyricism,Spanish,,,NA
Revista Azul,986,"Olaguíbel, Francisco M. de",,http://viaf.org/viaf/45655975,M,Mexico,1874,1924,21,La-bas!,22,29.09.1895,1895-09-29,Lyricism,Spanish,,,NA
Revista Azul,987,"Mendés, Catulle",,http://viaf.org/viaf/34460397,M,France,1841,1909,54,El duelo,22,29.09.1895,1895-09-29,Fictional Prose,Spanish,,,NA
Revista Azul,988,"Díaz Dufóo, Carlos",Petit Bleu,http://viaf.org/viaf/48832417,M,Mexico,1861,1941,34,Azul palido,22,29.09.1895,1895-09-29,Non-fictional Prose,Spanish,,,NA
Revista Azul,989,"Maupassant, Guy de",,http://viaf.org/viaf/29537765,M,France,1850,1893,deceased,Ça et la,22,29.09.1895,1895-09-29,Non-fictional Prose,Spanish,,,NA
Revista Azul,990,"Zola, Émile",,http://viaf.org/viaf/32004502,M,France,1840,1902,55,Ça et la,22,29.09.1895,1895-09-29,Non-fictional Prose,Spanish,,,NA
Revista Azul,991,"Campo, Ángel de",Micrós,http://viaf.org/viaf/71478091,M,Mexico,1868,1908,27,Dos reinados (fragmentos epistolares.),23,06.10.1895,1895-10-06,Fictional Prose,Spanish,,,NA
Revista Azul,992,"Prévost, Marcel",,http://viaf.org/viaf/68938611,M,France,1862,1941,33,El mendigo,23,06.10.1895,1895-10-06,Fictional Prose,Spanish,,n.I.,NA
Revista Azul,993,María Enriqueta,,http://viaf.org/viaf/38498145,F,Mexico,1872,1968,23,Lied,23,06.10.1895,1895-10-06,Lyricism,Spanish,,,NA
Revista Azul,994,"Ambrogi, Arturo",,http://viaf.org/viaf/69180193,M,San Salvador,1874,1936,21,Escuchando a Schubert,23,06.10.1895,1895-10-06,Lyricism,Spanish,"Urbina, Luis G.",,NA
Revista Azul,995,"Beyle, Henri",Stendhal,http://viaf.org/viaf/17823,M,France,1783,1842,deceased,No title,23,06.10.1895,1895-10-06,Non-fictional Prose,Spanish,,,NA
Revista Azul,996,"López Penha, Abraham Z.",,http://viaf.org/viaf/75926350,M,Colombia,1865,1927,30,ivone. Canto bretón,23,06.10.1895,1895-10-06,Lyricism,Spanish,,,NA
Revista Azul,997,"Díaz Dufóo, Carlos",,http://viaf.org/viaf/48832417,M,Mexico,1861,1941,34,El viejo maestro,23,06.10.1895,1895-10-06,Non-fictional Prose,Spanish,,,NA
Revista Azul,998,"Stecchetti, Lorenzo",,http://viaf.org/viaf/326144782956878631219,M,Italy,1845,1916,50,Del italiano,23,06.10.1895,1895-10-06,Lyricism,Italian,,,NA
Revista Azul,999,"Calcaño, José Antonio",,http://viaf.org/viaf/232646992,M,Colombia,1827,1897,68,No title,23,06.10.1895,1895-10-06,Lyricism,Spanish,,,NA
Revista Azul,1000,"Gutiérrez Coll, Jacinto",,http://viaf.org/viaf/215148207716300341033,M,Venezuela,1835,1901,60,No title,23,06.10.1895,1895-10-06,Lyricism,Spanish,,,NA
Revista Azul,1001,"Cuenca, Agustín F.",,http://viaf.org/viaf/122145857022622921210,M,Mexico,1850,1884,deceased,No title,23,06.10.1895,1895-10-06,Lyricism,Spanish,,,NA
Revista Azul,1002,"Rueda, Salvador",,http://viaf.org/viaf/17371849,M,Spain,1857,1933,38,La banda de música,23,06.10.1895,1895-10-06,Fictional Prose,Spanish,,,NA
Revista Azul,1003,"Beyle, Henri",Stendhal,http://viaf.org/viaf/17823,M,France,1783,1842,deceased,No title,23,06.10.1895,1895-10-06,Non-fictional Prose,Spanish,,,NA
Revista Azul,1004,"Martí, José",,http://viaf.org/viaf/73865537,M,Cuba,1853,1895,deceased,No title,23,06.10.1895,1895-10-06,Lyricism,Spanish,,,NA
Revista Azul,1005,"Urbina, Luis G.",,http://viaf.org/viaf/44335205,M,Mexico,1864,1934,31,Desde mi butaca. Fragmento,23,06.10.1895,1895-10-06,Non-fictional Prose,Spanish,,,NA
Revista Azul,1006,"Chocano, José Santos",,http://viaf.org/viaf/71504072,M,Peru,1875,1934,20,El adiós de Rolla,23,06.10.1895,1895-10-06,Lyricism,Spanish,,,NA
Revista Azul,1007,"Beyle, Henri",Stendhal,http://viaf.org/viaf/17823,M,France,1783,1842,deceased,No title,23,06.10.1895,1895-10-06,Non-fictional Prose,Spanish,,,NA
Revista Azul,1008,"Sánchez Azcona, Juan",,http://viaf.org/viaf/55278054,M,Mexico,1876,1938,19,La balada de las rosas,23,06.10.1895,1895-10-06,Lyricism,Spanish,"""Revista Azul""",,NA
Revista Azul,1009,"Martínez Rubio, Rafael",El Duque Juan,http://www.culturacolima.gob.mx/imagenes/foroscolima/4/18.pdf,M,Mexico,NA,NA,NA,Tarde azul,23,06.10.1895,1895-10-06,Lyricism,Spanish,"Gutiérrez Nájera, Manuel",,NA
Revista Azul,1010,"Houssaye, Arséne",,http://viaf.org/viaf/51690988,M,France,1815,1896,80,La mujer de Danton,23,06.10.1895,1895-10-06,Fictional Prose,Spanish,,,NA
Revista Azul,1011,Anonymous,,n.I.,NA,NA,NA,NA,NA,Esquela de luto,23,06.10.1895,1895-10-06,Non-fictional Prose,Spanish,,,NA
Revista Azul,1012,"Díaz Dufóo, Carlos",Petit Bleu,http://viaf.org/viaf/48832417,M,Mexico,1861,1941,34,Azul palido,23,06.10.1895,1895-10-06,Non-fictional Prose,Spanish,,,NA
Revista Azul,1013,"Gutiérrez Nájera, Manuel",El Duque Job,http://viaf.org/viaf/27095815,M,Mexico,1859,1895,deceased,Antes de ir a la ópera,24,13.10.1895,1895-10-13,Review,Spanish,,,NA
Revista Azul,1014,"Campo, Ángel de",Micrós,http://viaf.org/viaf/71478091,M,Mexico,1868,1908,27,Dos reinados (fragmentos epistolares.),24,13.10.1895,1895-10-13,Fictional Prose,Spanish,,,NA
Revista Azul,1015,"Darío, Rubén",,http://viaf.org/viaf/7399994,M,Nicaragua,1867,1916,28,Rimas,24,13.10.1895,1895-10-13,Lyricism,Spanish,,,NA
Revista Azul,1016,"Urbaneja Achelpohl, Luis M.",,http://viaf.org/viaf/84103651,M,Venezuela,1873,1937,22,Idilio,24,13.10.1895,1895-10-13,Lyricism,Spanish,,,NA
Revista Azul,1017,"Fernández Granados, Enrique",,http://viaf.org/viaf/86989738,M,Mexico,1867,1920,28,Octubre,24,13.10.1895,1895-10-13,Lyricism,Spanish,"Dávalos, Balbino",,NA
Revista Azul,1018,"Blouët, Léon Paul ",Max O'Rell,http://viaf.org/viaf/66541057,M,France,1848,1903,47,Jonathan y su continente. Fragmentos,24,13.10.1895,1895-10-13,Non-fictional Prose,Spanish,,,NA
Revista Azul,1019,"Roure, José de",,http://viaf.org/viaf/315538145,M,Spain,1864,1909,31,La misa del violín,24,13.10.1895,1895-10-13,Fictional Prose,Spanish,,,NA
Revista Azul,1020,"Fiansón, José",,http://viaf.org/viaf/112145003300861300027,M,Peru,1870,1952,25,A Manuel Gutiérrez Nájera,24,13.10.1895,1895-10-13,Lyricism,Spanish,,,NA
